mjd x y err_x err_y source
46593.978926460884 9.00554333365484 177.77204557878514 6.0 6.0 0.0
46593.978926460884 3.6858658994707083 175.9614002915728 6.0 6.0 0.0
46895.4498373347 9.584620706972451 156.70716335223312 1.0 1.0 0.0
47253.46024057983 15.806122794271888 113.90858827240551 1.0 1.0 0.0
47637.32979149863 24.147273443753335 63.568145994928976 1.0 1.0 0.0
48348.164158766245 -36.10849361202698 125.92528216791975 1.0 1.0 0.0
48408.4291215651 -30.023009231892413 112.04739584953192 5.0 5.0 0.0
48454.08439641273 -30.023009231892413 112.04739584953192 5.0 5.0 0.0
49023.42393587256 -32.437529214012756 166.87662118610285 1.0 1.0 0.0
50637.2465911864 3.743410039508964 164.9575305382452 1.0 1.0 0.0
52116.25835093022 -31.25849027914192 73.64038827619522 1.0 1.0 0.0
53078.67154471815 -35.231519874241194 179.57655751058084 1.0 1.0 0.0
53805.54004451222 -18.24800225496121 186.1075237966024 1.0 1.0 0.0
53938.34210798895 -7.677012176299036 175.83248699840698 1.0 1.0 0.0
54216.620139240185 -0.6771863745534332 193.99881808561133 1.0 1.0 0.0
54662.10604909342 3.489007152567254 166.56346186690925 1.2 1.2 0.0
54662.10604909342 3.468064732683897 165.5636811834344 0.1 0.1 0.0
51751.85620920638 15.41506973617375 13.10070704309123 1.171 1.171 1.0
51752.87888736295 15.178406172098349 12.432231741517965 0.963 0.963 1.0
53548.81130298905 -23.29872017652748 190.0270300197734 0.605 0.605 1.0
53549.83398114564 -23.346744316543983 189.87000692531174 0.575 0.575 1.0
53550.82013508234 -23.308730619668456 189.83437696291926 0.603 0.603 1.0
53551.80628901905 -23.262211343657498 189.72925979775238 0.556 0.556 1.0
53552.828967175636 -23.290201448857818 189.95755030130184 0.562 0.562 1.0
53553.81512111235 -23.236027300525933 190.06492952485792 0.621 0.621 1.0
53554.83779926892 -23.183846959293295 189.63810729958277 0.576 0.576 1.0
53555.82395320563 -23.178619081495523 189.87045588367593 0.622 0.622 1.0
53556.810107142344 -23.12732961197971 189.72560060523946 0.602 0.602 1.0
53561.813925265626 -23.01772945062501 189.93032019911362 0.572 0.572 1.0
53562.83660342221 -23.00740600522324 190.1229585529081 0.595 0.595 1.0
53563.822757358925 -22.97062403182018 190.09718785818154 0.595 0.595 1.0
53836.80477672783 -16.657587099935302 191.16562685798945 0.321 0.321 1.0
53849.807399004494 -16.34023580311767 190.99228464495238 0.319 0.319 1.0
53854.811217127775 -15.954361151736135 190.7941035782814 0.583 0.583 1.0
53857.80620315779 -16.062643695494355 190.88537156500914 0.305 0.305 1.0
53859.81503525107 -15.9901658792141 190.82121133447197 0.291 0.291 1.0
53860.80118918778 -15.987660761576748 190.79131611101366 0.306 0.306 1.0
53863.832699437655 -15.96436075132983 190.91368621919543 0.307 0.307 1.0
53864.81885337435 -15.980145408664693 190.7016304406387 0.323 0.323 1.0
53865.805007311064 -15.886930653679315 190.78969556662432 0.308 0.308 1.0
53866.82768546765 -15.821984205269683 190.81516112669925 0.302 0.302 1.0
53867.81383940436 -15.863568313113065 190.91205331349613 0.302 0.302 1.0
53868.799993341076 -15.64173614373158 191.07082506340387 0.335 0.335 1.0
53869.82267149765 -15.664454662368811 190.93852743783953 0.58 0.58 1.0
53870.80882543436 -15.834379346183615 190.9646481177109 0.3 0.3 1.0
53871.83150359093 -15.822810547997278 190.8251269261 0.3 0.3 1.0
53872.817657527645 -15.71416718506917 191.13511804396305 0.306 0.306 1.0
53873.80381146436 -15.703515178947265 191.00555518367673 0.302 0.302 1.0
53874.826489620944 -15.710070259637666 191.08528617462215 0.318 0.318 1.0
53875.81264355764 -15.739315071477938 191.0327101861897 0.352 0.352 1.0
53877.82147565094 -15.565289767552052 190.95667009678436 0.784 0.784 1.0
53878.80762958765 -15.507277789075356 191.48309699702597 0.714 0.714 1.0
53880.81646168094 -15.464495751554093 190.95482651965142 0.663 0.663 1.0
53886.80643374093 -15.321007145609489 191.25732310174214 0.698 0.698 1.0
53888.81526583423 -15.376138320513327 190.69108649947023 0.767 0.767 1.0
53889.80141977094 -15.381764423082119 190.76086004008474 0.763 0.763 1.0
53890.8240979276 -15.274081122162904 191.09053468414803 0.686 0.686 1.0
54227.79655052291 -7.064894172911082 184.7449638564623 0.728 0.728 1.0
54228.81922867948 -6.779818984887159 184.895739416927 0.579 0.579 1.0
54229.80538261619 -7.000405585887437 184.74741871439795 0.707 0.707 1.0
54230.791536552904 -7.028846086693106 184.64626647373507 0.67 0.67 1.0
54234.80920073949 -6.899936972217911 184.65112853643603 0.695 0.695 1.0
54235.7953546762 -6.868452504700302 184.67231617161974 0.749 0.749 1.0
54236.81803283277 -6.86250579257502 184.51242672038887 0.867 0.867 1.0
54237.804186769485 -6.7929438513133364 184.3749058679974 0.352 0.352 1.0
54244.81683698614 -6.426568624834931 184.9583848213167 0.319 0.319 1.0
54245.80299092285 -5.87906691890199 184.00610471439003 0.652 0.652 1.0
54247.81182301615 -6.812825638195228 184.91453973883054 1.76 1.76 1.0
54641.79858284113 3.6378502283634124 166.72031563584565 3.28 3.28 1.0
54643.807414934505 3.808093562014462 166.5264643335195 0.443 0.443 1.0
54645.816247027804 3.891310591255665 166.35449408381604 1.409 1.409 1.0
54649.79738699451 4.001667007818064 166.11180650742 0.505 0.505 1.0
54654.801205117794 4.19752254693406 165.82688323811666 0.508 0.508 1.0
54897.79683996676 10.365110634677725 147.8571367284342 0.347 0.347 1.0
